Financeiro - Controladoria Financeira- Guia Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;217,00;112501/Cheque AV;14014,89;
 ; ; ; ; ; ; ;112357/Credito - Elo;408.291,68;112502/Cheque Pre;59777,35;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;41.554,12;112503/Cheque devolvido;1340,49;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;5327,66;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.474.220,87;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.536.101,48;112985/IRRF a Compensar;1021,4;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;35.013,46;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;45.872,25;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;48.960,69;211101/Fornec. p/ Revenda;10680970,58;
 ; ; ; ; ; ; ;112380/Debito -VR ref;15.002,61;211102/Fornec p/ Consumo;153830,94;
 ; ; ; ; ; ; ;112381/Debito - Cabal;9.148,56;211103/Fornec de Serviços;393790,97;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;194010,41;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;775;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;194,57;211109/Fornecedor de Investimento;19688,08;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211110/Fornec desp gerais;6302;
