Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;22.819,46;211502/PIS a Recolher;26907,87;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;124139,83;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;363758,95;
 ; ; ; ; ; ; ;112801/Adto Funcionários;510,00;211505/FGTS a Pagar;81282,2;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;40890,81;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;4.750,76;211507/CSLL a Pagar;15440,69;
 ; ; ; ; ; ; ;112949/Outras CR;0,00;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;6154,71;
 ; ; ; ; ; ; ;112953/Adto Clientes;23.220,14;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;6004,85;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;8414,85;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;2037,09;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;5903,31;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;13349,41;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;18.985,71;211603/ISSQN a Recolher;975,96;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2746,4;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;1.856,01;211605/INSS Retido a Recolher;2683,95;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;10.020,87;211901/Devolução de Vendas a Pagar;4984,99;
 ; ; ; ; ; ; ;313101/Juros Recebidos;674,05;211902/Contra Vale a Pagar;653,5;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;2.264,75;211903/Adiant. de Clientes;351,26;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;11.406,08;211905/Créd Trocas/Boni Inden;19646,72;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;31,20;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,90;211911/Corresp. Bancário;37786,82;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;1394110,86;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;79.287,26;211914/Convênios Terceiros - Folha de Pagamento;46890,94;
 ; ; ; ; ; ; ;313208/Ganho Recarga;284,41;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;11608;
