Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211307/Adiant a Func;306096,31;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.922,76;211309/Adto 13º Salário;1148,55;
 ; ; ; ; ; ; ;112501/Cheque AV;16.878,14;211410/Outras Obrig Trabal a Pagar;96876,2;
 ; ; ; ; ; ; ;112502/Cheque Pre;77.167,72;211501/ICMS a Recolher;299421,14;
 ; ; ; ; ; ; ;112503/Cheque devolvido;3.020,13;211502/PIS a Recolher;31060,58;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;53.287,81;211503/COFINS a Recolher;143137;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;38.819,04;211504/INSS a Recolher;453073,55;
 ; ; ; ; ; ; ;112703/Devolução RCM;61.708,23;211505/FGTS a Pagar;101112,45;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;0,00;211506/IRPJ a Pagar;63159,06;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;16.557,35;211507/CSLL a Pagar;23457,26;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211508/IPTU a Pagar;7641,95;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;308,32;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;211.337,28;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211512/Multas Trabalhistas;33413,74;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211513/ICMS ST à Recolher;9063,63;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211550/Fornec Tribut a Rec;384,2;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211601/Funrural a Recolher;4699,42;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;3.244,63;211602/IRRF a Recolher;17027,04;
 ; ; ; ; ; ; ;112949/Outras CR;0,00;211603/ISSQN a Recolher;632,27;
