Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;0;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;149086,51;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;85136,14;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;0;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;941,09;
 ; ; ; ; ; ; ; ; ;332707/Doações;3346,11;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;0,09;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;639,25;
 ; ; ; ; ; ; ; ; ;333107/IOF;5291,49;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2942,94;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;150281,25;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;0,36;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;1446,16;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;31627,23;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;59,4;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;31,84;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;1613,27;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;6,3;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;189,28;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;37,96;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;0;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;8;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;380,34;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;545,06;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;7122,87;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;162,94;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;211,2;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;66,45;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;11;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;13,5;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;0,78;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;361719,68;
 ; ; ; ; ; ; ; ; ; ;15913957,25;
 ; ; ; ; ; ; ; ; ; ;211347,67;
 ; ; ; ; ; ; ; ; ; ;0;
 ; ; ; ; ; ; ; ; ; ;16487024,6;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
