Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112801/Adto Funcionários;4.580,00;211505/FGTS a Pagar;80852,62;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;48640,83;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;6.697,26;211507/CSLL a Pagar;18230,7;
 ; ; ; ; ; ; ;112949/Outras CR;127,73;211508/IPTU a Pagar;10722,13;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;33.854,16;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;17737,05;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;6592,16;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;13954,05;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;5044,69;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,02;211602/IRRF a Recolher;14777,13;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;24.215,05;211603/ISSQN a Recolher;487,98;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2314,34;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;4.909,06;211605/INSS Retido a Recolher;2683,95;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;12.383,84;211901/Devolução de Vendas a Pagar;15242,14;
 ; ; ; ; ; ; ;313101/Juros Recebidos;1.601,03;211902/Contra Vale a Pagar;532,7;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;4.450,21;211903/Adiant. de Clientes;5758,27;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;16.664,25;211905/Créd Trocas/Boni Inden;21690,26;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;41,73;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,30;211911/Corresp. Bancário;40147,79;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;0;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;54.695,92;211914/Convênios Terceiros - Folha de Pagamento;52841,4;
 ; ; ; ; ; ; ;313208/Ganho Recarga;273,02;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;11137;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,04;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;2.071,36;211920/Adiant. a Fornecedor;12318,11;
 ; ; ; ; ; ; ;333101/Juros Pagos;2,16;211921/Bonificações a Apropriar;42275,31;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;54695,94;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;211930/Depositos Judiciais de Terceiros a pagar;349,77;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;109970,12;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;42757,82;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;0;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;0;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;149086,51;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;84826,52;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0,01;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;1,99;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;1086,94;
 ; ; ; ; ; ; ; ; ;332707/Doações;5411,79;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;0,05;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;565,14;
 ; ; ; ; ; ; ; ; ;333107/IOF;396,43;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2447,91;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;131454,49;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;12,48;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;2325,39;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;17292,99;
